entidad_a,enticve1,numeral,nombre1,presue1,presue2
7,07,2,APOYO A LA ALIMENTACION PARA EL BIENESTAR,4136911.26,4122608.24
8,08,1,PROGRAMA DE INFRAESTRUCTURA DESARROLLO PAZ Y REENCUENTRO,50000000,49256357
8,08,2,INCLUSION PRODUCTIVA Y ECONOMIA SOLIDARIA (PIPES),12427016.51,12424016.51
8,08,3,FORTALECIMIENTO COMUNITARIO Y COHESION SOCIAL,49783251.17,49783251.17
8,08,4,CHIHUAHUA CRECE CONTIGO NIÑAS NIÑOS ADOLESCENTES Y JUVENTUDES,50054273.71,50054273.71
8,08,5,APOYOS A PERSONAS CON DISCAPACIDAD,114143495.41,114143382.41
8,08,6,ATENCION A SUJETOS PRIORITARIOS POR SITUACION DE VULNERABILIDAD PERSONAS MAYORES,45859758.19,45859758.19
8,08,7,UNIDOS CON VALOR POR JUAREZ,43001938.04,43001938.04
8,08,8,SEGURO CATASTROFICO AGRICOLA,12106834,11882834
8,08,9,PROGRAMA DE DESARROLLO FORESTAL SUSTENTABLE,2334706,2215921
8,08,10,APOYO PARA EL FOMENTO A LA ECONOMIA SOCIAL,3900000,1000000
8,08,11,JUNTOS POR LA SALUD DE LA MUJER EMBARAZADA NIÑOS Y NIÑAS MENORES DE SEIS AÑOS,1354361.49,1354361.49
8,08,12,PROGRAMA DE APOYO PARA LA INTEGRACION AL TRABAJO E INCORPORACION AL AUTOEMPLEO,7512623.2,7157329.93
8,08,13,PROGRAMA ESTATAL DE BECAS Y APOYOS EDUCATIVOS,65958619,25639274
8,08,14,MICROCREDITOS,5000000,4598153.98
8,08,15,ATENCION A LA POBLACION INDIGENA DEL ESTADO DE CHIHUAHUA,17139356.29,17223498.33
8,08,16,FOMENTO A LA PRODUCCION FAMILIAR INDIGENA DE LA REGION SERRANA,43759295.08,41037845.38
8,08,17,FOMENTO AL RESPETO DE LOS DERECHOS DE LAS Y LOS INDIGENAS,10838585.88,9745479.09
8,08,18,APOYO ALIMENTICIO A ESTUDIANTES EN NIVEL BASICO Y MEDIO SUPERIOR,8396083.29,9104409.41
8,08,19,APOYO INTEGRAL A MIGRANTES,2500000,1983097.58
8,08,20,ALIMENTACION Y DESARROLLO AUTOSUSTENTABLE DE LAS FAMILIAS,339777705.94,349023927.43
8,08,21,REHABILITACION FISICA INTEGRAL Y APOYOS FUNCIONALES,1624074,5158998.4
8,08,22,FORTALECIMIENTO FAMILIAR,530000,19503134.01
8,08,23,GESTION SOCIAL Y ATENCION A LA CIUDADANIA,18027053.9,12054046.28
8,08,24,PROGRAMA DE EDUCACION BASICA PARA ADULTOS,125122878.04,125122878.04
8,08,25,ATENCION A LA JUVENTUD,13040853.45,9542946.69
8,08,26,INSTITUCIONALIZACION DE LA PERSPECTIVA DE JUVENTUDES,1330940.72,1235293.35
8,08,27,IMPULSANDO JUVENTUDES,573931.83,429977.58
8,08,28,PROGRAMA DE APOYO A FAMILIARES DE VICTIMAS DE FEMINICIDIO,2726000,1721900
8,08,29,APOYOS AL DEPORTE,17700085.33,12062004.97
8,08,30,APOYOS DE VINCULACION DEPORTIVA,2796141.06,2499747.98
8,08,31,PROMOCION DEPORTIVA,20977995.47,18490917.41
8,08,32,PRACTICAS DEPORTIVAS FORMATIVAS,3411654.11,3102574.55
8,08,33,DESARROLLO DE HABILIDADES PARA LA INSERCION LABORAL,998160,998760
8,08,34,DESARROLLO DE HABILIDADES PARA EL TRABAJO,31980,31980
