entidad_a,enticve1,numeral,nombre1,presup1,presup2,presup3
1,01,29,INSTITUTO DEL AGUA DEL ESTADO,360361900,360361900,477848577
1,01,30,INSTITUTO DE CIENCIA Y TECNOLOGIA DEL ESTADO DE AGUASCALIENTES,46104300,46104300,54360486
1,01,31,PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS,98540000,98540000,153086672
1,01,32,INSTITUTO AGUASCALENTENSE DE LAS MUJERES,23962700,23962700,33847170
1,01,33,ESCUELA NORMAL DE AGUASCALIENTES,32205800,32205800,34097311
1,01,34,INSTITUTO PARA LA EDUCACION DE LAS PERSONAS JOVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES,67312000,67312000,70059661
1,01,35,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,99426000,99426000,122282414
1,01,36,INSTITUTO CULTURAL DE AGUASCALIENTES,262518300,262518300,313760051
1,01,37,INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES,192549300,192549300,241510197
1,01,38,RADIO Y TELEVISION DE AGUASCALIENTES,74696400,74696400,73892084
1,01,39,UNIVERSIDAD TECNOLOGICA METROPOLITANA DE AGUASCALIENTES,19150500,19150500,24732671
1,01,40,INSTITUTO DE CAPACITACION PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES,66898000,66898000,58115155
1,01,41,COMISION ESTATAL DE ARBITRAJE MEDICO,6852200,6852200,6334878
1,01,42,UNIVERSIDAD TECNOLOGICA EL RETOÑO,40398600,40398600,45937227
1,01,43,UNIVERSIDAD TECNOLOGICA DE CALVILLO,20186600,20186600,21956865
1,01,44,INSTITUTO DE INFRAESTRUCTURA FISICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES,274720700,274720700,295232761
1,01,45,CENTRO DE CONCILIACION LABORAL DEL ESTADO DE AGUASCALIENTES,19849200,19849200,14545395
1,01,46,FIDEICOMISO DE INVERSION Y ADMINISTRACION PARA EL DESARROLLO ECONOMICO DEL ESTADO DE AGUASCALIENTES,26521000,26521000,40759733
1,01,47,FIDEICOMISO DEL COMPLEJO TRES CENTURIAS,57053900,57053900,73132861
1,01,48,FIDEICOMISO DE DESARROLLOS INDUSTRIALES,94463000,94463000,199043824
1,01,49,SISTEMA DE FINANCIAMIENTO DE AGUASCALIENTES,303821000,303821000,366682601
1,01,50,INSTITUTO DE EDUCACION DE AGUASCALIENTES,7479280900,7479280900,7966326481
1,01,51,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES,399300000,399300000,377211385
1,01,52,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,1377058000,1377058000,2408563301
1,01,53,UNIVERSIDAD TECNOLOGICA DE AGUASCALIENTES,139777400,139777400,151990487
1,01,54,UNIVERSIDAD TECNOLOGICA DEL NORTE DE AGUASCALIENTES,103466600,103466600,103526762
1,01,55,INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,3525322200,3525322200,3812946482
1,01,56,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION,16791200,16791200,16336901
1,01,57,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE AGUASCALIENTES,111952000,111952000,125687771
2,02,1,COORDINACION DE GABINETE,149095911,190441683,175017244
2,02,2,SECRETARIA GENERAL DE GOBIERNO,237860051,318922784,290837437
2,02,3,OFICIALIA MAYOR DE GOBIERNO,1354062285,1211836533,1055527636
2,02,4,DIRECCION DE COMUNICACION SOCIAL,39698800,100878066,93145464
2,02,5,SECRETARIA DE HACIENDA DEL ESTADO,1334513447,2378578982,2261511877
2,02,6,SECRETARIA DE LA HONESTIDAD Y LA FUNCION PUBLICA,76800722,87031485,73141253
2,02,7,SECRETARIA DE PESCA Y ACUACULTURA,42826288,52225351,41291432
2,02,8,SECRETARIA DE INFRAESTRUCTURA DESARROLLO URBANO Y REORDENACION TERRITORIAL,233512659,2404421098,1444630802
2,02,9,SECRETARIA DE ECONOMIA E INNOVACION,393891334,431195257,389918490
2,02,10,SECRETARIA DE CAMPO Y SEGURIDAD ALIMENTARIA,180303683,317253658,309503733
2,02,11,SECRETARIA DE TURISMO,352646404,363980770,346350438
2,02,12,SECRETARIA DE EDUCACION,26441112952,31127331270,29970848080
2,02,13,SECRETARIA DE MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,49972158,74412706,68069773
2,02,14,SECRETARIA DE BIENESTAR,2580146298,4084402247,3693549846
2,02,15,SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,257677608,277252697,257131784
2,02,16,DIRECCION DEL REGISTRO PUBLICO DE LA PROPIEDAD Y DEL COMERCIO,98588573,127773972,97147474
2,02,17,SECRETARIA DE CULTURA,234344653,282290564,268012410
2,02,18,SECRETARIA DE INCLUSION SOCIAL E IGUALDAD DE GENERO,31066379,40036507,29918162
2,02,19,SECRETARIA DE SEGURIDAD CIUDADANA,2449281818,2447207505,2333283534
2,02,20,SECRETARIA DE SALUD,4811162871,6477667607,6404761381
2,02,21,SECRETARIA PARA EL MANEJO SANEAMIENTO Y PROTECCION DEL AGUA,85728042,1863729486,1861169102
2,02,22,CONSEJERIA JURIDICA,0,213245363,196237042
2,02,23,ADMINISTRADORA DE LA VIA CORTA TIJUANA TECATE,20780550,24320703,17895671
2,02,24,CENTRO DE CONCILIACION LABORAL DEL ESTADO DE BAJA CALIFORNIA,60000000,60000000,49915872
2,02,25,CENTRO DE JUSTICIA PARA LAS MUJERES,14000000,15773000,14750129
2,02,26,CENTRO METROPOLITANO DE CONVENCIONES TIJUANA PLAYAS DE ROSARITO TECATE,12500000,14756050,12235380
2,02,27,COLEGIO DE BACHILLERES DEL ESTADO DE BAJA CALIFORNIA,1192436773,1350832784,1321042601
2,02,28,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE BAJA CALIFORNIA,207629714,221443028,196908756
2,02,29,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE BAJA CALIFORNIA,839693150,890467597,884019372
2,02,30,COMISION DE ARBITRAJE MEDICO DEL ESTADO DE BAJA CALIFORNIA,3216715,3216715,3205858
2,02,31,COMISION ESTATAL DE ENERGIA DE BAJA CALIFORNIA,43316658,43316658,40658032
2,02,32,COMISION ESTATAL DE SERVICIOS PUBLICOS DE ENSENADA,917691895,1207145825,1042231054
2,02,33,COMISION ESTATAL DE SERVICIOS PUBLICOS DE MEXICALI,1815401059,2323163462,1946903629
2,02,34,COMISION ESTATAL DE SERVICIOS PUBLICOS DE TECATE,385214358,484257615,404762973
2,02,35,COMISION ESTATAL DE SERVICIOS PUBLICOS DE TIJUANA,4661548148,5158342518,4897451920
2,02,36,COMISION ESTATAL DEL AGUA DEL ESTADO DE BAJA CALIFORNIA,1185657836,2426765988,2097444549
2,02,37,COMISION ESTATAL DEL SISTEMA PENITENCIARIO,1214093594,1266417058,1265683214
2,02,38,COMITE DE PLANEACION PARA EL DESARROLLO DEL ESTADO,16458027,16792445,16203976
2,02,39,FIDEICOMISO FONDO DE GARANTIAS COMPLEMENTARIAS Y CREDITOS PUENTE,55925415,106736091,106451469
2,02,40,FIDEICOMISO PUBLICO DE ADMINISTRACION DE FONDOS E INVERSION DEL TRAMO CARRETERO CENTINELA RUMOROSA,235000000,327056550,253207378
2,02,41,FIDEICOMISO PUBLICO PARA LA PROMOCION TURISTICA DEL ESTADO,273513936,277678976,141045403
2,02,42,FIDEICOMISO SAN ANTONIO DEL MAR,53010,53010,700
2,02,43,INSTITUTO DE CAPACITACION DE ALTA TECNOLOGIA,6822714,7186428,6286700
2,02,44,INSTITUTO DE CULTURA DE BAJA CALIFORNIA,224455255,283397590,231208618
2,02,45,INSTITUTO DE LA INFRAESTRUCTURA FISICA EDUCATIVA DE BAJA CALIFORNIA,17479463,23511306,22633310
2,02,46,INSTITUTO DE LA JUVENTUD DE BAJA CALIFORNIA,83763567,110367024,108955828
2,02,47,INSTITUTO DE LA MUJER PARA EL ESTADO DE BAJA CALIFORNIA,14909069,31334714,29511772
2,02,48,INSTITUTO DE MOVILIDAD SUSTENTABLE DEL ESTADO DE BAJA CALIFORNIA,117501406,160512386,139601559
2,02,49,INSTITUTO DE PSIQUIATRIA DEL ESTADO DE BAJA CALIFORNIA,193848246,253733736,212033716
2,02,50,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL GOBIERNO Y MUNICIPIOS DE BAJA CALIFORNIA,7404027630,14584859913,14201698179
2,02,51,INSTITUTO DE SERVICIOS DE SALUD PUBLICA DEL ESTADO DE BAJA CALIFORNIA,5404566308,6175547211,5705743942
2,02,52,INSTITUTO DE SERVICIOS EDUCATIVOS Y PEDAGOGICOS DE BAJA CALIFORNIA,13022364307,13545987086,13497746214
2,02,53,INSTITUTO DEL DEPORTE Y LA CULTURA FISICA DE BAJA CALIFORNIA,321802536,438902536,407753748
2,02,54,INSTITUTO PARA EL DESARROLLO INMOBILIARIO Y DE LA VIVIENDA PARA EL ESTADO DE BAJA CALIFORNIA,160000000,177484347,168411314
2,02,55,JUNTA DE URBANIZACION DEL ESTADO DE BAJA CALIFORNIA,32992736,39279822,37511247
2,02,56,PROMOTORA DEL DESARROLLO URBANO DE TIJUANA,1267290,11217120,10433032
2,02,57,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION,14228970,14228970,5372749
2,02,58,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DE BAJA CALIFORNIA,808036877,978395230,960912578
2,02,59,UNIDAD DE ESPECIALIDADES MEDICAS DE BAJA CALIFORNIA,244935994,238730426,145021991
2,02,60,UNIVERSIDAD INTERCULTURAL DE BAJA CALIFORNIA,20000000,13789736,11296442
2,02,61,UNIVERSIDAD POLITECNICA DE BAJA CALIFORNIA,61189108,68316692,59510888
2,02,62,UNIVERSIDAD TECNOLOGICA DE TIJUANA,171286436,191123608,155506787
3,03,1,JEFATURA DE LA OFICINA DEL EJECUTIVO,87068800,87068800,89681447
3,03,2,SECRETARIA GENERAL DE GOBIERNO,103986961,103986961,127353395
3,03,3,SECRETARIA DE FINANZAS Y ADMINISTRACION,1470382996,1470382996,1731059930
3,03,4,SECRETARIA DE PLANEACION URBANA INFRAESTRUCTURA MOVILIDAD MEDIO AMBIENTE Y RECURSOS NATURALES,224884153,224884153,457157710
3,03,5,SECRETARIA DE EDUCACION PUBLICA,6844331088,6844331088,6977157649
3,03,6,SECRETARIA DE TURISMO Y ECONOMIA,142025161,142025161,145927002
3,03,7,SECRETARIA DE SALUD,1873770540,1873770540,2113480408
3,03,8,SECRETARIA DE PESCA ACUACULTURA Y DESARROLLO AGROPECUARIO,171397404,171397404,203533940
3,03,9,SECRETARIA DEL TRABAJO BIENESTAR Y DESARROLLO SOCIAL,182172690,182172690,119256139
3,03,10,PROCURADURIA GENERAL DE JUSTICIA,320136839,320136839,350166433
3,03,11,CONTRALORIA GENERAL,25487995,25487995,30259677
3,03,12,SECRETARIA DE SEGURIDAD PUBLICA,794848279,794848279,787978399
3,03,13,COLEGIO DE BACHILLERES DEL ESTADO DE BAJA CALIFORNIA SUR,403927698,403927698,486621170
3,03,14,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO,306714736,306714736,347250026
3,03,15,INSTITUTO TECNOLOGICO SUPERIOR DE CIUDAD CONSTITUCION,34789250,34789250,42041905
3,03,16,INSTITUTO TECNOLOGICO SUPERIOR DE LOS CABOS,39759958,39759958,45836342
3,03,17,INSTITUTO TECNOLOGICO SUPERIOR DE MULEGE,25754647,25754647,26347562
3,03,18,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA,58878075,58878075,62736771
3,03,19,INSTITUTO SUDCALIFORNIANO DE LA INFRAESTRUCTURA FISICA EDUCATIVA,167528819,167528819,296170130
3,03,20,INSTITUTO ESTATAL DE EDUCACION PARA LOS ADULTOS,49889744,49889744,46818230
3,03,21,CONSEJO SUDCALIFORNIANO DE CIENCIA Y TECNOLOGIA,1700000,1700000,1700000
3,03,22,BENEMERITA ESCUELA NORMAL URBANA PROFESOR DOMINGO CARBALLO FELIX,14250333,14250333,21576859
3,03,23,UNIVERSIDAD TECNOLOGICA DE LA PAZ,21288658,21288658,21570680
3,03,24,INSTITUTO DE SERVICIOS DE SALUD,0,0,0
3,03,25,COMISION ESTATAL PARA LA PROTECCION CONTRA RIESGOS SANITARIOS,0,0,0
3,03,26,INSTITUTO DE SALUD PARA EL BIENESTAR,0,0,0
3,03,27,JUNTA ESTATAL DE CAMINOS,65000000,65000000,68264728
3,03,28,COMISION ESTATAL DEL AGUA,80125686,80125686,189342617
3,03,29,INSTITUTO DE VIVIENDA DE BAJA CALIFORNIA SUR,49712356,49712356,93443797
3,03,30,INSTITUTO SUDCALIFORNIANO DE LA JUVENTUD,7384941,7384941,7250754
3,03,31,INSTITUTO SUDCALIFORNIANO DEL DEPORTE,108719603,108719603,163857590
3,03,32,INSTITUTO SUDCALIFORNIANO DE CULTURA,116751349,116751349,124532276
3,03,33,INSTITUTO SUDCALIFORNIANO DE LAS MUJERES,25402136,25402136,33788162
3,03,34,INSTITUTO SUDCALIFORNIANO PARA LA INCLUSION DE PERSONAS CON DISCAPACIDAD,3412712,3412712,33536644
3,03,35,INSTITUTO ESTATAL DE RADIO Y TELEVISION,23160401,23160401,23766291
3,03,36,INSTITUTO DE CAPACITACION PARA LOS TRABAJADORES DEL ESTADO DE BAJA CALIFORNIA SUR,23009868,23009868,24336081
3,03,37,PATRONATO DEL ESTUDIANTE SUDCALIFORNIANO,28277862,28277862,29067315
3,03,38,SISTEMA ESTATAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,227709204,227709204,227898913
3,03,39,ADMINISTRACION PORTUARIA INTEGRAL DE BAJA CALIFORNIA SUR SA DE CV,257450203,313348376,306763070
4,04,1,OFICINA DE LA GOBERNADORA,177822899,177822899,171895735
4,04,2,SECRETARIA DE GOBIERNO,386664079,386664079,319046401
4,04,3,SECRETARIA DE ADMINISTRACION Y FINANZAS,767439929,767439929,600006603
4,04,4,SECRETARIA DE MODERNIZACION ADMINISTRATIVA E INNOVACION GUBERNAMENTAL,87177783,87177783,76951638
4,04,5,SECRETARIA DE EDUCACION,5433077109,5433077109,5727938087
4,04,6,SECRETARIA DE SALUD,292898108,292898108,279146908
4,04,7,SECRETARIA DE DESARROLLO TERRITORIAL URBANO Y OBRAS PUBLICAS,751480825,751480825,740122516
4,04,8,SECRETARIA DE DESARROLLO ECONOMICO,76959110,76959110,29097036
4,04,9,SECRETARIA DE DESARROLLO AGROPECUARIO,194314807,194314807,190170893
4,04,10,SECRETARIA DE BIENESTAR,240270316,240270316,180678917
4,04,11,SECRETARIA DE INCLUSION,24329275,24329275,14231240
4,04,12,SECRETARIA DE MEDIO AMBIENTE BIODIVERSIDAD Y CAMBIO CLIMATICO,170002765,170002765,126358766
4,04,13,SECRETARIA DE TURISMO,69649900,69649900,62256270
4,04,14,SECRETARIA DE PROTECCION Y SEGURIDAD CIUDADANA,684032050,684032050,764071573
4,04,15,SECRETARIA DE PROTECCION CIVIL,120271455,120271455,101122987
4,04,16,CONSEJERIA JURIDICA,34952379,34952379,25949963
4,04,17,SECRETARIA DE LA CONTRALORIA,71130029,71130029,70225150
4,04,18,FISCALIA GENERAL DEL ESTADO DE CAMPECHE,454918284,454918284,377763706
4,04,19,ARCHIVO GENERAL DEL ESTADO DE CAMPECHE,6225627,6225627,5598875
4,04,20,COMISION LOCAL DE BUSQUEDA DE PERSONAS DEL ESTADO DE CAMPECHE,3876780,3876780,18887071
4,04,21,CONSEJO ESTATAL DE POBLACION DE CAMPECHE,8069123,8069123,7469187
4,04,22,INSTITUTO ESTATAL DEL TRANSPORTE DEL ESTADO DE CAMPECHE,9284645,9284645,8328880
4,04,23,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL DE PROTECCION INTEGRAL DE LOS DERECHOS DE NIÑAS NIÑOS Y ADOLESCENTES,2260399,2260399,2574471
4,04,24,CONSEJO ESTATAL DE SEGURIDAD PUBLICA EN EL ESTADO DE CAMPECHE,159543285,159543285,74892683
4,04,25,SERVICIO DE ADMINISTRACION FISCAL DEL ESTADO DE CAMPECHE,343580641,343580641,155528109
4,04,26,COMISION DE MEJORA REGULATORIA DEL ESTADO DE CAMPECHE,6750996,6750996,4188710
4,04,27,COMISION DE CONCILIACION Y ARBITRAJE MEDICO DEL ESTADO DE CAMPECHE,5998947,5998947,4202646
4,04,28,INSTITUTO CAMPECHANO DEL EMPRENDEDOR,4844322,4844322,3347409
4,04,29,PROMOTORA DE PRODUCTOS Y SERVICIOS DE CAMPECHE,5416400,5416400,5763842
4,04,30,INSTITUTO PARA EL DESARROLLO DE LA MICRO PEQUEÑA Y MEDIANA EMPRESA,5553401,5553401,4696498
4,04,31,JUNTA ESTATAL DE ASISTENCIA PRIVADA,1841896,1841896,1236480
4,04,32,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE CAMPECHE,123029389,123029389,243119954
4,04,33,INSTITUTO DE CAPACITACION PARA EL TRABAJO DEL ESTADO DE CAMPECHE,64964543,64964543,161607668
4,04,34,COLEGIO DE BACHILLERES DEL ESTADO DE CAMPECHE,232945728,232945728,461645127
4,04,35,UNIVERSIDAD TECNOLOGICA DE CAMPECHE,44093284,44093284,110445018
4,04,36,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE CAMPECHE,67283112,67283112,70260737
4,04,37,INSTITUTO ESTATAL DE LA EDUCACION PARA LOS ADULTOS DEL ESTADO DE CAMPECHE,90050903,90050903,92563308
4,04,38,INSTITUTO TECNOLOGICO SUPERIOR DE CALKINI EN EL ESTADO DE CAMPECHE,44802802,44802802,44323212
4,04,39,INSTITUTO TECNOLOGICO SUPERIOR DE ESCARCEGA,30157792,30157792,31221062
4,04,40,INSTITUTO TECNOLOGICO SUPERIOR DE CHAMPOTON,24726237,24726237,29969694
4,04,41,UNIVERSIDAD TECNOLOGICA DE CANDELARIA,8167416,8167416,28125272
4,04,42,INSTITUTO TECNOLOGICO SUPERIOR DE HOPELCHEN,11063659,11063659,11067953
4,04,43,UNIVERSIDAD TECNOLOGICA DE CALAKMUL,5802846,5802846,21871268
4,04,44,UNIVERSIDAD AUTONOMA DE CAMPECHE,969146121,969146121,1006753087
4,04,45,UNIVERSIDAD AUTONOMA DEL CARMEN,597090197,597090197,642218308
4,04,46,INSTITUTO CAMPECHANO,142881793,142881793,176110691
4,04,47,FUNDACION PABLO GARCIA,39692725,39692725,39563396
4,04,48,CONSEJO ESTATAL DE INVESTIGACION CIENTIFICA Y DESARROLLO TECNOLOGICO,2594412,2594412,2480382
4,04,49,INSTITUTO DE LA INFRAESTRUCTURA FISICA EDUCATIVA DEL ESTADO DE CAMPECHE,202056573,202056573,166394612
4,04,50,PROMOTORA DE EVENTOS ARTISTICOS CULTURALES Y DE CONVENCIONES DEL ESTADO DE CAMPECHE,16994795,16994795,15168624
4,04,51,INSTITUTO ESTATAL PARA EL FOMENTO DE LAS ACTIVIDADES ARTESANALES EN CAMPECHE,14954906,14954906,14234038
4,04,52,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE CAMPECHE,367083715,367083715,401858087
4,04,53,INSTITUTO DEL DEPORTE DEL ESTADO DE CAMPECHE,99319383,99319383,102629451
4,04,54,INSTITUTO DE LA MUJER DEL ESTADO DE CAMPECHE,10280596,10280596,32697564
4,04,55,INSTITUTO DE LA JUVENTUD DEL ESTADO DE CAMPECHE,8361294,8361294,7912223
4,04,56,HOSPITAL DR MANUEL CAMPOS,129509679,129509679,109791365
4,04,57,HOSPITAL PSIQUIATRICO DE CAMPECHE,50859897,50859897,53401412
4,04,58,INSTITUTO DE SERVICIOS DESCENTRALIZADOS DE SALUD PUBLICA DEL ESTADO DE CAMPECHE,2188197549,2188197549,2757401160
4,04,59,SISTEMA DE ATENCION A NIÑOS NIÑAS Y ADOLESCENTES FARMACODEPENDIENTES DEL ESTADO DE CAMPECHE VIDA NUEVA,26961275,26961275,27351302
4,04,60,COMISION DE AGUA POTABLE Y ALCANTARILLADO DEL ESTADO DE CAMPECHE,220924745,220924745,195407913
4,04,61,PROMOTORA PARA LA CONSERVACION Y DESARROLLO SUSTENTABLE DEL ESTADO DE CAMPECHE,10626500,10626500,10005360
4,04,62,COMISION ESTATAL DE DESARROLLO DE SUELO Y VIVIENDA,85436210,85436210,87504405
4,04,63,INSTITUTO DE DESARROLLO Y FORMACION SOCIAL,18109027,18109027,17828645
4,04,64,SISTEMA DE TELEVISION Y RADIO DE CAMPECHE,51959412,51959412,33170127
4,04,65,INSTITUTO DE INFORMACION ESTADISTICA GEOGRAFICA Y CATASTRAL DEL ESTADO DE CAMPECHE,35933307,35933307,28721427
4,04,66,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO DE CAMPECHE,48413393,48413393,88510195
4,04,67,INSTITUTO DE ACCESO A LA JUSTICIA DEL ESTADO DE CAMPECHE,56954728,56954728,34100820
4,04,68,CENTRO DE CONCILIACION LABORAL EN EL ESTADO,15289433,15289433,15084383
4,04,69,AGENCIA DE ENERGIA DEL ESTADO DE CAMPECHE,2644375,2644375,2625246
4,04,70,SECRETARIA EJECUTIVA DEL SISTEMA ANTICORRUPCION,4570090,4570090,4108133
4,04,71,INSTITUTO DE PESCA Y ACUACULTURA DEL ESTADO DE CAMPECHE,41970356,41970356,58827398
4,04,72,INSTITUTO DE CULTURA Y ARTES DEL ESTADO DE CAMPECHE,129812820,129812820,127058255
4,04,73,AUTORIDAD DEL PATRIMONIO CULTURAL DEL ESTADO DE CAMPECHE,15965413,15965413,115420559
4,04,74,UNIVERSIDAD INTERCULTURAL DE CAMPECHE,0,0,27081614
4,04,75,FIDEICOMISO FONDO CAMPECHE,16166000,16166000,31547159
4,04,76,FIDEICOMISO DE INVERSION DEL IMPUESTO DEL 2 SOBRE NOMINA,12300000,12300000,12300000
4,04,77,FIDEICOMISO FONDO DE FOMENTO AGROPECUARIO DEL ESTADO DE CAMPECHE,18685000,18685000,41321210
5,05,1,OFICINAS DEL EJECUTIVO,219616551,219616551,360074794
5,05,2,SECRETARIA DE GOBIERNO,530842079,530842079,1083263074
5,05,3,COORDINACION DE COMUNICACION E IMAGEN INSTITUCIONAL,6332500,6332500,33581487
5,05,4,SECRETARIA DE FINANZAS,3578081233,3578081233,1580019577
5,05,5,ADMINISTRACION FISCAL GENERAL,2225765699,2225765699,3475933681
5,05,6,SECRETARIA DE ECONOMIA,235008103,235008103,40938780
5,05,7,SECRETARIA DE EDUCACION,19633939171,19633939171,21717135120
5,05,8,SECRETARIA DE INCLUSION Y DESARROLLO SOCIAL,1195974739,1195974739,1667758509
5,05,9,SECRETARIA DE SEGURIDAD PUBLICA,1928617633,1928617633,1816843655
5,05,10,SECRETARIA DE SALUD,112412754,112412754,358707765
5,05,11,SECRETARIA DE INFRAESTRUCTURA DESARROLLO URBANO Y MOVILIDAD,3624661604,3624661604,2522874398
5,05,12,SECRETARIA DE DESARROLLO RURAL,182102560,182102560,103898054
5,05,13,SECRETARIA DE FISCALIZACION Y RENDICION DE CUENTAS,49325626,49325626,59235772
5,05,14,SECRETARIA DE MEDIO AMBIENTE,51002904,51002904,207721534
5,05,15,SECRETARIA DE CULTURA,220557082,220557082,192905595
5,05,16,SECRETARIA DEL TRABAJO,147256415,147256415,145337676
5,05,17,SECRETARIA DE VIVIENDA Y ORDENAMIENTO TERRITORIAL,44778295,44778295,18146080
5,05,18,SECRETARIA DE TURISMO Y DESARROLLO DE PUEBLOS MAGICOS,67867071,67867071,196666905
5,05,19,SECRETARIA DE INVERSION PUBLICA PRODUCTIVA,20000000,20000000,5336662
5,05,20,INSTITUTO COAHUILENSE DE LAS MUJERES,35297515,35297515,33567163
5,05,21,PROCURADURIA PARA NIÑOS NIÑAS Y LA FAMILIA,24089619,24089619,34284774
5,05,22,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA Y PROTECCION DE DERECHOS DEL ESTADO DE COAHUILA,463199412,463199412,441656627
5,05,23,CENTRO DE JUSTICIA Y EMPODERAMIENTO PARA LAS MUJERES DEL ESTADO DE COAHUILA DE ZARAGOZA,34897649,34897649,29912276
5,05,24,COMISION EJECUTIVA ESTATAL DE ATENCION A VICTIMAS,20728575,20728575,21499641
5,05,25,COAHUILA RADIO,9074535,9074535,11377783
5,05,26,INSTITUTO DE PENSIONES PARA LOS TRABAJADORES AL SERVICIO DEL ESTADO,0,0,118365270
5,05,27,INSTITUTO REGISTRAL Y CATASTRAL DEL ESTADO DE COAHUILA DE ZARAGOZA,114265938,114265938,27450177
5,05,28,INSTITUTO COAHUILENSE DE ADULTOS MAYORES,2659997,2659997,2512680
