entidad_a,enticve1,numeral,nombre1,presup1,presup2,presup3
1,01,1,DESPACHO EJECUTIVO ESTATAL,129358400,129358400,138617501
1,01,2,COORDINACION GENERAL EJECUTIVA DE GABINETE,20634900,20634900,20299283
1,01,3,SECRETARIA DE COMUNICACION Y VOCERIA DEL GOBIERNO,0,0,17914568
1,01,4,SECRETARIA GENERAL DE GOBIERNO,531493500,531493500,438921486
1,01,5,SECRETARIA DE SEGURIDAD PUBLICA,1148599300,1148599300,1037307315
1,01,6,SECRETARIA DE FINANZAS,963834900,963834900,700076146
1,01,7,SECRETARIA DE DESARROLLO ECONOMICO CIENCIA Y TECNOLOGIA,137685800,137685800,199864601
1,01,8,SECRETARIA DE SALUD,1128100,1128100,878699
1,01,9,SECRETARIA DE SUSTENTABILIDAD MEDIO AMBIENTE Y AGUA,103191600,103191600,99901987
1,01,10,SECRETARIA DE DESARROLLO SOCIAL,256163800,256163800,281460308
1,01,11,SECRETARIA DE OBRAS PUBLICAS,778168500,778168500,1540040617
1,01,12,SECRETARIA DE DESARROLLO RURAL Y AGROEMPRESARIAL,164228100,164228100,163951526
1,01,13,SECRETARIA DE TURISMO,103291800,103291800,103222095
1,01,14,SECRETARIA DE PLANEACION PARTICIPACION Y DESARROLLO,66018000,66018000,59063497
1,01,15,SECRETARIA DE ADMINISTRACION,180257800,180257800,150436441
1,01,16,COORDINACION GENERAL DE MOVILIDAD,424110900,424110900,110029169
1,01,17,CONTRALORIA DEL ESTADO,66807800,66807800,70600749
1,01,18,SECRETARIA DE LA FAMILIA,3067400,3067400,4143688
1,01,19,SECRETARIA DE INNOVACION Y GOBIERNO DIGITAL,0,0,10671766
1,01,20,SECRETARIA DE GESTION URBANISTICA ORDENAMIENTO TERRITORIAL REGISTRAL Y CATASTRAL,100638000,100638000,68547294
1,01,21,CONSEJERIA JURIDICA DEL ESTADO,0,0,2196444
1,01,22,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,24010100,24010100,33584565
1,01,23,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PUBLICOS DEL ESTADO DE AGUASCALIENTES,656182000,656182000,270872863
1,01,24,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,359743300,359743300,378162911
1,01,25,INSTITUTO DE ASESORIA Y DEFENSORIA PUBLICA DEL ESTADO DE AGUASCALIENTES,33381600,33381600,31190325
1,01,26,INSTITUTO AGUASCALENTENSE DE LA JUVENTUD,17023500,17023500,19082824
1,01,27,INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO DE AGUASCALIENTES,107258000,107258000,75170413
1,01,28,PROCURADURIA ESTATAL DE PROTECCION AL AMBIENTE,35638600,35638600,37435614
