entidad_a,enticve1,numeral,nombre1,rnspni1,nombre2,elepro1,elepro2,elepro3,elepro4,elepro5,elepro6,elepro7,elepro8,elepro9,elepro10,elepro11,elepro12,elepro13
20,20,68,DEFENSORIA PUBLICA DEL ESTADO DE OAXACA,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
20,20,69,INSTITUTO OAXAQUEÑO DEL EMPRENDEDOR Y LA COMPETITIVIDAD,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,70,INSTITUTO DE LA FUNCION REGISTRAL DEL ESTADO DE OAXACA,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,71,FIDEICOMISO PARA EL DESARROLLO LOGISTICO DEL ESTADO DE OAXACA,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
20,20,72,FIDEICOMISO DE FOMENTO PARA EL ESTADO DE OAXACA,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,73,OFICINA DE CONVENCIONES Y VISITANTES DE OAXACA,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
20,20,74,OFICINA DE PENSIONES,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,75,SERVICIOS DE SALUD DE OAXACA,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
20,20,76,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL DE COMBATE A LA CORRUPCION,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,77,COORDINACION GENERAL DE ATENCION REGIONAL,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
20,20,78,COORDINACION GENERAL DE RELACIONES INTERNACIONALES,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,79,COORDINACION GENERAL DE ENLACE FEDERAL,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,80,SISTEMA DE TRANSPORTE COLECTIVO CITYBUS OAXACA,1,PRESUPUESTO DE EGRESOS,,,,,,,,1,,,,,
20,20,81,DIRECCION GENERAL DEL HANGAR OFICIAL DEL GOBIERNO DEL ESTADO DE OAXACA,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
