entidad_a,enticve1,numeral,nombre1,sexostt,sexos1,sexos2
1,01,1,DESPACHO EJECUTIVO ESTATAL,143,78,65
1,01,2,COORDINACION GENERAL DE GABINETE,17,7,10
1,01,3,SECRETARIA GENERAL DE GOBIERNO,470,208,262
1,01,4,SECRETARIA DE ADMINISTRACION,279,171,108
1,01,5,SECRETARIA DE FINANZAS,303,115,188
1,01,6,SECRETARIA DE SEGURIDAD PUBLICA,1655,1106,549
1,01,7,SECRETARIA DE DESARROLLO ECONOMICO,113,50,63
1,01,8,SECRETARIA DE SALUD,0,0,0
1,01,9,SECRETARIA DE SUSTENTABILIDAD MEDIO AMBIENTE Y AGUA,219,164,55
1,01,10,SECRETARIA DE GESTION URBANISTICA ORDENAMIENTO TERRITORIAL REGISTRAL Y CATASTRAL,212,106,106
1,01,11,SECRETARIA DE DESARROLLO SOCIAL,311,95,216
1,01,12,SECRETARIA DE OBRAS PUBLICAS,264,193,71
1,01,13,SECRETARIA DE DESARROLLO RURAL Y AGROEMPRESARIAL,108,77,31
1,01,14,SECRETARIA DE TURISMO,106,57,49
1,01,15,COORDINACION GENERAL DE PLANEACION Y PROYECTOS,63,35,28
1,01,16,COORDINACION GENERAL DE MOVILIDAD,106,78,28
1,01,17,CONTRALORIA DEL ESTADO,117,70,47
1,01,18,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,53,30,23
1,01,19,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PUBLICOS DEL ESTADO DE AGUASCALIENTES,193,86,107
1,01,20,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,540,148,392
1,01,21,INSTITUTO DE ASESORIA Y DEFENSORIA PUBLICA DEL ESTADO DE AGUASCALIENTES,65,29,36
1,01,22,INSTITUTO AGUASCALENTENSE DE LAS MUJERES,110,22,88
1,01,23,INSTITUTO AGUASCALENTENSE DE LA JUVENTUD,23,10,13
1,01,24,INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO DE AGUASCALIENTES,107,56,51
1,01,25,PROCURADURIA ESTATAL DE PROTECCION AL AMBIENTE,60,40,20
1,01,26,INSTITUTO DEL AGUA DEL ESTADO,347,302,45
1,01,27,INSTITUTO PARA EL DESARROLLO DE LA SOCIEDAD DEL CONOCIMIENTO DEL ESTADO DE AGUASCALIENTES,56,28,28
1,01,28,PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS,20,13,7
1,01,29,INSTITUTO DE EDUCACION DE AGUASCALIENTES,16284,5447,10837
1,01,30,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES,920,421,499
1,01,31,ESCUELA NORMAL DE AGUASCALIENTES,137,45,92
1,01,32,INSTITUTO PARA LA EDUCACION DE LAS PERSONAS JOVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES,150,65,85
1,01,33,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE AGUASCALIENTES,463,227,236
1,01,34,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,3104,1662,1442
1,01,35,UNIVERSIDAD TECNOLOGICA DE AGUASCALIENTES,456,245,211
1,01,36,UNIVERSIDAD TECNOLOGICA DEL NORTE DE AGUASCALIENTES,295,161,134
1,01,37,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,340,189,151
1,01,38,INSTITUTO CULTURAL DE AGUASCALIENTES,1117,614,503
1,01,39,INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES,243,174,69
1,01,40,RADIO Y TELEVISION DE AGUASCALIENTES,154,102,52
1,01,41,UNIVERSIDAD TECNOLOGICA METROPOLITANA DE AGUASCALIENTES,81,37,44
1,01,42,INSTITUTO DE CAPACITACION PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES,169,70,99
1,01,43,INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,7586,2786,4800
1,01,44,COMISION ESTATAL DE ARBITRAJE MEDICO,14,8,6
1,01,45,UNIVERSIDAD TECNOLOGICA EL RETOÑO,151,77,74
1,01,46,UNIVERSIDAD TECNOLOGICA DE CALVILLO,84,39,45
1,01,47,INSTITUTO DE INFRAESTRUCTURA FISICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES,83,48,35
1,01,48,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION,20,13,7
2,02,1,OFICINA DE LA GUBERNATURA,128,78,50
